,quantile,mad,alma,wcp,kurtosis,atr,rvi,increasing,pwma,median,rsx,ebsw,log_return,er,ao,rma,sinwma,ssf,nvi,wma,trima,pvt,ad,pvr,bias,cmo,midprice,zlma,swma,true_range,dema,massi,inertia,variance,mfi,dpo,cti,chop,pdist,apo,rsi,linreg,decay,natr,vidya,stdev,tema,cfo,entropy,willr,pgo,uo,skew,psl,obv,t3,qstick,fwma,zscore,vwap,jma,efi,slope,kama,percent_return,mcgd,adosc,eom,ema,hl2,pvol,hwma,decreasing,hlc3,mom,sma,ttm_trend,midpoint,cg,cmf,roc,vhf,bop,coppock,ohlc4,vwma,hma,ui,pvi,cci,change24hs,change7d,change30d,change90d,change180d
AAPL,146.0046646118164,3.3201052890353737,144.94816602896,145.9445821126302,-0.7843557543670154,2.770484141032941,54.25693558421387,0.5333333333333333,145.28036929865678,146.0046646118164,53.37139113507333,0.3249591755161077,0.0009748069264169584,0.3452282542936606,-1.3034770367192323,145.83136116677352,145.16109558356823,145.8275720622906,1163.811034864297,145.55852699048592,145.25036970067907,384930902102.68146,43210447681.767525,2.4,4.597675180778952e-05,1.2683885763988494,145.7149996439616,145.910758843355,145.30961056179473,2.7036616007486978,145.58774337963334,24.75351682173003,54.635062641627705,16.241684412591486,45.30352282690656,-1.1236328124999997,0.15747889144242394,48.062942090695046,4.55199228922526,-0.806970045301649,50.63419428819942,145.6775538316664,146.54333272298177,1.8817653469956797,145.58773514515516,3.9765315400588856,145.980148361041,0.007515522557006524,3.3235928257740395,-39.68288911508922,0.29523051104544634,55.697877479358425,0.2926755260682779,55.55555555555555,162062532849.9,144.80112783607666,0.2839994303385421,145.7964754829318,0.03899281662835909,145.91322055392797,145.81681224040065,-8758747.948811898,0.14533335367838543,146.76040867386976,0.0010408955126006258,-0.006019462854597502,29127924.652253725,-0.04147146853284346,145.5986690413639,145.85049743652343,10863620786.053183,144.86584683153933,0.4666666666666667,145.91322055392797,1.1456685384114584,145.34353271484375,0.3333333333333333,145.96600011189778,-5.4920169829363115,0.05078966968221286,0.834605184262219,0.34410632163512517,0.09682647823166596,-0.3396465271051491,145.85791549682617,145.2296099494738,145.9833878257058,3.9308757963663044,1988.71249499525,29.702070248296543,0.003507568015859608,0.018423078031167384,0.0442926877437364,0.11874553118058051,0.1920814725073099
X,23.137166468302407,1.5314088418748644,22.278592443584433,23.002500009536742,-0.20999217682571,1.15330739697053,51.32315132501734,0.5333333333333333,22.37826883668701,23.137166468302407,49.72603609822227,0.34160988493936506,0.006013759348573592,0.3135967710381659,-1.1273941152236033,22.940693805393835,22.410871944342457,22.78686719046218,844.5743478641551,22.611218166929298,22.40547219382392,4299415987.131031,-1397797492.1812577,2.533333333333333,-0.0006122252181384662,-4.23220482145633,22.92983325322469,22.85369498401351,22.429988858964705,1.1190001805623373,22.60436544950035,24.109762293241108,50.29631743980236,3.559640327490962,47.222869359267484,-0.4348420645061289,0.1642494293448783,51.18522636898339,1.8466668446858725,-0.6132499849694405,47.88389758927183,22.6342988776462,23.144999974568684,4.906144658774334,23.650625826130558,1.8339639432391073,22.90504616621228,0.41860303489181344,3.3200524912703497,-45.16629194727246,0.4683335984218172,48.19285920771167,0.5754384410076933,51.388888888888886,201792579.5,22.092795464582046,0.018133405049642132,22.790876456129517,0.07810898132124482,23.001333342658146,22.780492108200868,1730587.1687876773,0.14399998982747395,23.084909565713524,0.006701670623920653,22.473954581876363,-9061410.90502096,0.05297452266211892,22.67841161132812,22.99900000890096,549486401.7529777,21.756732506359263,0.4666666666666667,23.001333342658146,0.6543333689371745,22.48843331654866,0.4666666666666667,22.93400001525879,-5.471924406281352,-0.1978958426429009,3.2720589292339457,0.35642203726754995,0.020231525308072464,-2.396307902226123,22.992499987284344,22.518495459481013,22.876857575824367,9.527811869368788,1611.6894566579347,27.90252254375238,0.0034174110608686803,0.11833508426644168,0.22060929642292804,0.13794249990303187,0.4775539162799003
KO,54.511352729797366,0.819662437156395,54.02884087714668,54.47700017293294,-0.3597958389579508,0.6756989220787483,54.90500502125438,0.6333333333333333,54.129090682665506,54.511352729797366,53.52033528505669,0.36283439596641437,0.001776512843129634,0.454815824969193,-0.3416970356979744,54.347487279270474,54.12038159539956,54.351535778350645,1197.020051627604,54.249618310639356,54.129972394307444,9231047413.435213,6332095028.7320385,2.1333333333333333,0.0025353212569944384,0.951143984977157,54.417666816711424,54.39078485794408,54.1470001686944,0.6650001525878906,54.281777312443616,25.186849949840646,52.187455555655205,1.088875646598158,53.09847440114397,-0.3648946962858502,0.24058260308319204,48.268200455486344,1.1270003000895188,-0.18831786457289965,50.47557199248857,54.27591640709957,54.533333511352545,1.2429818732136688,54.437727989783404,1.030799382837318,54.42407876940093,0.0896254207456613,3.322795821429411,-36.446715518929174,0.46499863208932446,47.41462864904199,-0.04608460111601321,54.722222222222236,6484940870.133333,54.003236676781476,-0.046032816569010114,54.352515243316866,0.1037188408156676,54.475777986314554,54.33345498197814,349445.7069185913,0.09833335876464844,54.112891741239125,0.0018038389816092662,54.27123121096643,-6743606.586183453,-0.02494532019693607,54.26703217989287,54.4733336130778,822021842.475975,54.17005572134745,0.3333333333333333,54.475777986314554,0.38166656494140627,54.17116681416829,0.3333333333333333,54.43150005340576,-5.492197413723303,-0.17314874918244366,0.7341429289487024,0.399482206602227,0.021210857666924578,-0.25500336190736933,54.47541675567627,54.180183279366695,54.405645511383156,2.501938065633834,1665.2261080900157,47.67915551087861,0.013010150317154912,0.015544022028053162,0.0525925954182942,0.06447923814269418,0.16711678951387432
PBR,10.422500197092692,0.33009967408356844,10.469061272749913,10.47245835463206,-0.5063447782286715,0.40003832904465597,46.33285883789213,0.43333333333333335,10.49764722455293,10.422500197092692,53.85614677610704,0.2119591433795252,-0.0019319422603030292,0.22835159662128787,0.08244269516334886,10.459025206262115,10.474391418926192,10.49909503398114,1236.350600287946,10.49286068020445,10.488157499278033,-1426343064.7516675,1060343429.368452,2.533333333333333,0.004100326792530284,2.420756626251872,10.471833292643229,10.498779407456343,10.492766754362318,0.40816659927368165,10.503473603838353,25.020306398403815,47.78844053719731,0.16824142100446265,50.15294641482227,0.10028951042576843,0.12881801254608516,50.68073804871268,0.6823331832885742,0.04743802262167627,51.21037831312593,10.507776619977566,10.525333404541016,3.8819432676304757,10.388481334327816,0.40957567398800293,10.50077048654531,-0.3498849007003468,3.327810289459029,-38.092107426848855,0.013008216563490115,50.418467426261536,-0.3219944015344198,45.55555555555555,2474115212.8,10.483610228872847,0.0021667893727621576,10.489375352970649,0.09691881530630495,10.473166677686903,10.481919477263526,-1070824.706420066,-0.019333330790201823,10.475280905445564,-0.0014679855917077767,10.398165366919192,4257840.919699967,0.005541982058922199,10.480130421782706,10.47458332379659,329464421.5525454,10.439162426758816,0.5333333333333333,10.473166677686903,0.032666587829589845,10.48613341967265,0.06666666666666667,10.48000005086263,-5.496325173959109,0.01696955328874541,0.49429444226303226,0.25385577671506965,-0.01849538610648187,2.2878210950584412,10.477958329518636,10.435762379071582,10.508253584518178,5.0271490735061395,1148.728171756435,4.982053379303275,-0.012158043257392115,-0.08018871234718494,-0.0450538723240258,-0.12721432888878603,0.35596402236010616
HMY,3.356388552983602,0.22208753400378758,3.494750515892916,3.588267898062698,-0.7145930557182023,0.1385456438155614,55.84721831725567,0.6,3.5340554202130687,3.356388552983602,61.44618099221145,0.15920101278946414,0.004576197010730466,0.4767551432954136,0.14367851406535573,3.491128750220449,3.4991059506630933,3.5706554294450035,602.1658949497285,3.5501984376618356,3.5252492741302217,1930168151.2444806,-227722440.0812755,2.3333333333333335,0.0490424817426556,9.935965400712186,3.5839359993522577,3.580838196206024,3.532367826567756,0.13835988307333205,3.583942086879374,24.77306666561471,57.80891985446712,0.06955189530220719,63.575146132753474,-0.04409160488530208,0.14874645083891433,42.230504425183504,0.23646796620053886,0.09215706714198121,54.96798270035609,3.584701334408351,3.587506405512492,3.8042216439837038,3.6395761716316737,0.25947202235482864,3.5998605539653417,0.038263242364289095,3.3620139978191332,-40.77716693566612,0.6551894190081679,50.058045649194455,0.5171991674834121,58.61111111111111,-222028729.53333333,3.503526945826513,0.004370300164682302,3.5676985279941333,0.6467922462646194,3.588521728912766,3.5816927708394117,82859.2195142822,0.015521764755249023,3.612548589946983,0.004877782571995807,3.414812089338871,442179.45514639316,0.056185515512344936,3.527665434967746,3.5890293906129034,17075054.793408997,3.679211779199642,0.4,3.588521728912766,0.14438986778259277,3.5307074594497676,0.2,3.5797455231348674,-5.4689916994681065,0.07717836528713089,4.818596951734159,0.41549429368001284,-0.022563799620716047,13.251735360411748,3.587950570387869,3.5332897673055217,3.582917910143984,6.148375430322492,1886.8702011291448,21.77065093403654,-0.038147166755797546,-0.10406093397874971,0.1051282174373438,-0.04381089864700982,-0.07723536618753324
VALE,14.889876778920492,0.8075870169886836,14.278543879980544,13.729958367347717,-0.4325309937550207,0.5124822810061028,41.24175106190975,0.4,14.094708510364095,14.889876778920492,37.123571051410146,-0.4467943103381042,-0.007386399146607996,0.3607404602318864,-1.2502780330108565,14.491650291485762,14.238063342532277,13.848368508865388,1240.6568132217803,13.972624787417326,14.124470710754393,5006105958.209176,2576921524.0450983,2.6333333333333333,-0.07013208926022794,-31.259664209469953,13.791500091552734,13.779721086777824,14.089360693825615,0.4614999771118165,13.721728615945699,24.880624657637405,42.59829840634507,1.0229017809692766,35.68301405842916,0.0970357819607382,-0.4080513480854017,44.54757115313196,0.7829998970031743,-0.596128413004753,34.37016789526502,13.815869439023755,13.794666659037272,3.6383733922509705,15.067127717528482,0.9635143276024324,13.747239561009613,-0.274491806396223,3.2749731397855046,-70.16614630453738,-1.0206296099502994,41.41821536802023,0.11118298263993535,42.49999999999999,1392221951.3,14.007265932558662,-0.058368497557248926,13.855889917698219,-1.3662779957330824,13.734277820587158,13.844066380219727,-4501370.353944074,-0.09600000381469727,14.142373947719994,-0.007125116522628579,14.246667325590742,-18064602.0449547,-0.060521459424878486,14.093872677301965,13.74291672706604,513889111.4834146,13.815889530103167,0.6,13.734277820587158,-0.777900759379069,14.083336636225384,-0.4666666666666667,13.765000009536744,-5.5444289692630715,-0.15334470494635494,-5.2454315258556905,0.39158130106156874,-0.18734289428180292,-12.910905091248457,13.746708369255066,14.013149001427667,13.780814568651245,9.86554658470501,1248.3361141936325,-60.12947632890603,-0.012510393777620976,-0.13828236173075648,-0.18681319976915323,-0.42293426138876067,-0.18998457293843252
XOM,58.39083347320557,2.2565237101802116,60.340443001327486,62.53271141052246,-0.4018811939208534,1.4099588620999093,57.09402719271489,0.6,61.215351883322,58.39083347320557,68.70038257312694,0.7844596106982864,0.004044863969279183,0.35772769623615197,3.895317526768474,60.107024478265615,60.5850551736556,62.21881059584483,1438.1454973940638,61.68415120211514,61.05502748136168,4533055033.718705,4563393534.785923,2.3333333333333335,0.06226836094522805,29.544615950158136,62.404756736755374,62.468427945414426,61.21612191094292,1.3111797332763673,62.538699662248774,25.18917456807572,55.722342539488224,7.6359221125194585,65.73828732668886,-0.062447146365516314,0.749984996982128,45.25634457655944,2.1860261281331383,1.973683653937446,64.77230797507907,62.30987727518046,62.75699940999349,2.2399622469565164,59.19963861731051,2.7041807648382137,62.672083540379745,-0.12124773013464037,3.365713869684393,-17.719343788302414,1.3737063775676723,57.46488636708444,0.12532192059912103,57.500000000000014,1940473160.8333333,61.14324144992904,0.12163309733072952,62.12706728137179,1.599587980395227,62.525726445515936,62.320735687864314,7169720.753671046,0.2476665496826172,60.491731872678415,0.004164607086424991,59.529772099950414,5046543.74145565,1.3994734407564418,61.23830044480224,62.51175651550293,1346142874.283212,63.371056302056076,0.4,62.525726445515936,3.078333028157552,61.211266377766925,0.4666666666666667,62.429833030700685,-5.456520665597602,0.021568851627196437,5.3364497944923155,0.3788613713937557,0.05356314832930901,13.23471767603945,62.521878210703534,61.28316847056612,62.549079811661336,1.5299502017380104,1348.3612066815983,103.46938826460187,0.0057205124433561405,-0.0016881615127275484,0.1472663523185722,0.05318309701303536,0.27394131951134604
ITUB,4.41956004301707,0.12651779669302482,4.358252791705111,4.322043756325601,-0.47612683332799544,0.16632644926127632,46.42505136958188,0.4666666666666667,4.343655888239542,4.41956004301707,46.88473590568141,-0.11260867343963671,-0.0019511925415692194,0.14144218531312766,-0.12359865250766339,4.3867968642967305,4.357969414615452,4.332224129006035,1182.4784289823656,4.338723729451497,4.347449207747425,10125645362.027645,3623346974.9369626,2.533333333333333,-0.021306323918244757,-7.650363908089755,4.328940888300852,4.327896875929064,4.344837685690986,0.17611593376337445,4.317857283288213,25.028248513573164,45.62916242124553,0.026304942151702926,38.194651429247756,0.04398257104974052,-0.18668049828124184,60.17911842787334,0.28744503284594636,-0.06261776522693471,46.17481804595513,4.326287182713603,4.323063844045004,3.9236188085932495,4.543606309095281,0.15648768350798678,4.32443028811267,-0.1232098109139692,3.3086230788366464,-54.00258888265684,-0.22137861960006996,50.28245655607664,0.06801487240645245,45.555555555555564,2231931445.633333,4.333678902938242,-0.004004692685524241,4.332003604004155,-0.7644626874932379,4.322148174285305,4.330061278238191,-663242.9853929433,-0.008238665262858073,4.424524342761897,-0.0015390073601502057,4.367154696955648,2592583.9202326457,-0.001071059500054234,4.350212709197109,4.32235701020471,169920200.00706387,4.254410934609003,0.5333333333333333,4.322148174285305,-0.06103833516438802,4.345827232996623,-0.26666666666666666,4.325849835077921,-5.509180926761316,-0.026664712036927937,-1.3283352948459446,0.20667247353635657,-0.059268592431293204,-4.013706737066572,4.324683680196805,4.340357079445159,4.329123366176078,6.084962079643913,1219.1026519278942,-31.062776363184874,-0.039534899710060856,-0.03658584553438815,-0.04995439665096468,-0.15131951589051296,0.06494647789942265
HSBC,26.992833201090495,1.1379948700798883,27.7343725547313,28.865833266576132,-0.3840212960305502,0.5331360169370787,66.72617241858613,0.6666666666666666,28.18936975027124,26.992833201090495,72.37370418344604,0.6957328484647495,0.004314898549622756,0.47714340243949965,1.5503748057268723,27.769986977820345,27.870093068336395,28.700678192159096,1259.872273422459,28.42661810557047,28.105490698637787,-729871811.4016715,461276455.4390783,2.2333333333333334,0.061750942327790076,29.591826227740892,28.79533332188924,28.821688808931068,28.18801106346978,0.53733336130778,28.810990744518325,25.329802765013465,67.28159686446267,2.070384995923211,65.72533886478557,-0.2347895371286491,0.7008271125362637,37.86203031692867,0.8753333409627279,0.8411880293463027,64.79591311387044,28.735557425781916,28.92299975077311,1.8981866907102114,27.895851066917633,1.348322457211644,28.945456913302504,-0.15437376810871575,3.367381422601772,-17.625500499287178,1.8412630455798173,58.200204250468495,0.023839617806516365,66.11111111111111,-176543310.83333334,28.03053681133786,-0.015966835021972454,28.651720175932066,1.2831107178514725,28.8665555106269,28.78963773595501,392747.04914795223,0.1186666488647461,28.32140262856837,0.004434195458535994,27.4635098945829,-604904.9208337307,1.494426659359554,28.221534900292042,28.867999998728433,62591501.89150492,29.147534071828478,0.3333333333333333,28.8665555106269,1.5559998830159505,28.18346661249797,0.6,28.804333209991455,-5.451697806284413,-0.14968680103410403,5.861687138882169,0.45077189544339985,0.03710512678786445,13.369248271404688,28.866416645050048,28.172589941372014,28.8700955001754,1.9483818897178824,850.5358189965843,84.62971731665498,0.002372871010990485,-0.031127154282128866,0.15237723580136509,0.037675175082092505,0.02634924055160348
SQ,252.15583267211915,8.799452530472369,249.05264578361695,247.99251530965168,-0.7219536269584527,9.0715817927407,59.69144936193631,0.5666666666666667,249.34330363969008,252.15583267211915,50.48394018701915,0.003997249283436544,-0.003352960961123862,0.24559823789538396,-3.682876856186809,249.88382147921422,248.81944135640214,248.66929890237554,1134.7090861085032,248.85638059673892,249.13223965962732,4342388654.754017,762315050.8472881,2.433333333333333,-0.009778779602836333,-4.7259380407520855,248.38853123982747,248.4485842624508,249.1798544650608,9.548196919759114,248.20482827673138,25.034049032788108,62.44355596197949,114.91847753443513,55.83552551528293,-3.0031853123715053,0.08698403747418532,48.043655540850274,14.36639404296875,-1.4453459780440379,47.63703097962396,249.117755590865,251.13999806722006,3.7212372779663307,249.97579408903565,10.660135146365901,248.6712327571275,-0.3444886492428663,3.32428148763004,-51.772527686506855,-0.12180192441667623,47.52199976629507,-0.2039440407782685,61.94444444444444,1794113626.8333333,247.5937075488538,-0.19170242309570243,248.4638564885635,-0.3238032944616774,248.10590972900394,248.2405009774844,-6750212.622006518,-0.8373331705729167,251.27624879509528,-0.00290315495998195,248.03482318957938,-1263339.1004479725,-29.34410401353498,248.84391489101287,248.33269856770832,1726725173.3584697,247.68986673044398,0.43333333333333335,248.10590972900394,-0.32066650390625,248.95779886881513,-0.13333333333333333,248.0709986368815,-5.502191868455812,-0.051366004122698886,0.09228922904310745,0.26703565421406844,-0.06998381803732157,0.29543213698248766,248.25597432454427,248.40462219774187,248.67114464345602,7.246712956865857,1245.1499619057024,-7.6255068965464154,-0.019791007014247408,-0.05452051506566491,-0.06193413178359808,-0.001773631240562068,-0.08905648765977381
SQ,252.15583267211915,8.799452530472369,249.05264578361695,247.99251530965168,-0.7219536269584527,9.0715817927407,59.69144936193631,0.5666666666666667,249.34330363969008,252.15583267211915,50.48394018701915,0.003997249283436544,-0.003352960961123862,0.24559823789538396,-3.682876856186809,249.88382147921422,248.81944135640214,248.66929890237554,1134.7090861085032,248.85638059673892,249.13223965962732,4342388654.754017,762315050.8472881,2.433333333333333,-0.009778779602836333,-4.7259380407520855,248.38853123982747,248.4485842624508,249.1798544650608,9.548196919759114,248.20482827673138,25.034049032788108,62.44355596197949,114.91847753443513,55.83552551528293,-3.0031853123715053,0.08698403747418532,48.043655540850274,14.36639404296875,-1.4453459780440379,47.63703097962396,249.117755590865,251.13999806722006,3.7212372779663307,249.97579408903565,10.660135146365901,248.6712327571275,-0.3444886492428663,3.32428148763004,-51.772527686506855,-0.12180192441667623,47.52199976629507,-0.2039440407782685,61.94444444444444,1794113626.8333333,247.5937075488538,-0.19170242309570243,248.4638564885635,-0.3238032944616774,248.10590972900394,248.2405009774844,-6750212.622006518,-0.8373331705729167,251.27624879509528,-0.00290315495998195,248.03482318957938,-1263339.1004479725,-29.34410401353498,248.84391489101287,248.33269856770832,1726725173.3584697,247.68986673044398,0.43333333333333335,248.10590972900394,-0.32066650390625,248.95779886881513,-0.13333333333333333,248.0709986368815,-5.502191868455812,-0.051366004122698886,0.09228922904310745,0.26703565421406844,-0.06998381803732157,0.29543213698248766,248.25597432454427,248.40462219774187,248.67114464345602,7.246712956865857,1245.1499619057024,-7.6255068965464154,-0.019791007014247408,-0.05452051506566491,-0.06193413178359808,-0.001773631240562068,-0.08905648765977381
SQ,252.15583267211915,8.799452530472369,249.05264578361695,247.99251530965168,-0.7219536269584527,9.0715817927407,59.69144936193631,0.5666666666666667,249.34330363969008,252.15583267211915,50.48394018701915,0.003997249283436544,-0.003352960961123862,0.24559823789538396,-3.682876856186809,249.88382147921422,248.81944135640214,248.66929890237554,1134.7090861085032,248.85638059673892,249.13223965962732,4342388654.754017,762315050.8472881,2.433333333333333,-0.009778779602836333,-4.7259380407520855,248.38853123982747,248.4485842624508,249.1798544650608,9.548196919759114,248.20482827673138,25.034049032788108,62.44355596197949,114.91847753443513,55.83552551528293,-3.0031853123715053,0.08698403747418532,48.043655540850274,14.36639404296875,-1.4453459780440379,47.63703097962396,249.117755590865,251.13999806722006,3.7212372779663307,249.97579408903565,10.660135146365901,248.6712327571275,-0.3444886492428663,3.32428148763004,-51.772527686506855,-0.12180192441667623,47.52199976629507,-0.2039440407782685,61.94444444444444,1794113626.8333333,247.5937075488538,-0.19170242309570243,248.4638564885635,-0.3238032944616774,248.10590972900394,248.2405009774844,-6750212.622006518,-0.8373331705729167,251.27624879509528,-0.00290315495998195,248.03482318957938,-1263339.1004479725,-29.34410401353498,248.84391489101287,248.33269856770832,1726725173.3584697,247.68986673044398,0.43333333333333335,248.10590972900394,-0.32066650390625,248.95779886881513,-0.13333333333333333,248.0709986368815,-5.502191868455812,-0.051366004122698886,0.09228922904310745,0.26703565421406844,-0.06998381803732157,0.29543213698248766,248.25597432454427,248.40462219774187,248.67114464345602,7.246712956865857,1245.1499619057024,-7.6255068965464154,-0.019791007014247408,-0.05452051506566491,-0.06193413178359808,-0.001773631240562068,-0.08905648765977381
